cbsa_cd,cbsa_abbr,cbsa_name
00000,US,United States
10540,ABB,"Albany, OR (MSA)"
10180,ABL,"Abilene, TX (MSA)"
12220,ABO,"Auburn-Opelika, AL (MSA)"
10740,ABQ,"Albuquerque, NM (MSA)"
12100,ACT,"Atlantic City-Hammonton, NJ (MSA)"
10380,AGD,"Aguadilla-Isabela, PR (MSA)"
10420,AKR,"Akron, OH (MSA)"
10580,ALB,"Albany-Schenectady-Troy, NY (MSA)"
10500,ALG,"Albany, GA (MSA)"
10900,ALL,"Allentown-Bethlehem-Easton, PA-NJ (MSA)"
11020,ALT,"Altoona, PA (MSA)"
10780,ALX,"Alexandria, LA (MSA)"
11100,AMA,"Amarillo, TX (MSA)"
11180,AME,"Ames, IA (MSA)"
11460,ANA,"Ann Arbor, MI (MSA)"
11260,ANC,"Anchorage, AK (MSA)"
11500,ANN,"Anniston-Oxford-Jacksonville, AL (MSA)"
11540,APL,"Appleton, WI (MSA)"
11640,ARE,"Arecibo, PR (MSA)"
11700,ASH,"Asheville, NC (MSA)"
12020,ATH,"Athens-Clarke County, GA (MSA)"
12060,ATL,"Atlanta-Sandy Springs-Roswell, GA (MSA)"
12260,AUG,"Augusta-Richmond County, GA-SC (MSA)"
12420,AUS,"Austin-Round Rock, TX (MSA)"
12540,BAK,"Bakersfield, CA (MSA)"
12620,BAN,"Bangor, ME (MSA)"
12980,BCE,"Battle Creek, MI (MSA)"
13220,BCK,"Beckley, WV (MSA)"
13980,BCR,"Blacksburg-Christiansburg-Radford, VA (MSA)"
13020,BCT,"Bay City, MI (MSA)"
13740,BIL,"Billings, MT (MSA)"
13780,BIN,"Binghamton, NY (MSA)"
13820,BIR,"Birmingham-Hoover, AL (MSA)"
13900,BIZ,"Bismarck, ND (MSA)"
14100,BLB,"Bloomsburg-Berwick, PA (MSA)"
13380,BLL,"Bellingham, WA (MSA)"
14020,BLM,"Bloomington, IN (MSA)"
14010,BLO,"Bloomington, IL (MSA)"
25060,BLX,"Gulfport-Biloxi-Pascagoula, MS (MSA)"
13140,BMT,"Beaumont-Port Arthur, TX (MSA)"
13460,BND,"Bend-Redmond, OR (MSA)"
35660,BNH,"Niles-Benton Harbor, MI (MSA)"
14260,BOI,"Boise City, ID (MSA)"
14500,BOL,"Boulder, CO (MSA)"
14460,BOS,"Boston-Cambridge-Newton, MA-NH (MSA)"
14540,BOW,"Bowling Green, KY (MSA)"
14860,BRG,"Bridgeport-Stamford-Norwalk, CT (MSA)"
14740,BRM,"Bremerton-Silverdale, WA (MSA)"
