cbsa_code,cbsa_name,ct_code,ct_name,msa
10100,"Aberdeen, SD",46013,"Brown County, South Dakota",0
10100,"Aberdeen, SD",46045,"Edmunds County, South Dakota",0
10140,"Aberdeen, WA",53027,"Grays Harbor County, Washington",0
10180,"Abilene, TX",48059,"Callahan County, Texas",1
10180,"Abilene, TX",48253,"Jones County, Texas",1
10180,"Abilene, TX",48441,"Taylor County, Texas",1
10220,"Ada, OK",40123,"Pontotoc County, Oklahoma",0
10300,"Adrian, MI",26091,"Lenawee County, Michigan",0
10380,"Aguadilla, PR",72003,"Aguada Municipio, Puerto Rico",1
10380,"Aguadilla, PR",72005,"Aguadilla Municipio, Puerto Rico",1
10380,"Aguadilla, PR",72011,"Añasco Municipio, Puerto Rico",1
10380,"Aguadilla, PR",72071,"Isabela Municipio, Puerto Rico",1
10380,"Aguadilla, PR",72099,"Moca Municipio, Puerto Rico",1
10380,"Aguadilla, PR",72117,"Rincón Municipio, Puerto Rico",1
10380,"Aguadilla, PR",72131,"San Sebastián Municipio, Puerto Rico",1
10420,"Akron, OH",39133,"Portage County, Ohio",1
10420,"Akron, OH",39153,"Summit County, Ohio",1
10460,"Alamogordo, NM",35035,"Otero County, New Mexico",0
10480,"Alamosa, CO",8003,"Alamosa County, Colorado",0
10480,"Alamosa, CO",8021,"Conejos County, Colorado",0
10480,"Alamosa, CO",8023,"Costilla County, Colorado",0
10500,"Albany, GA",13095,"Dougherty County, Georgia",1
10500,"Albany, GA",13177,"Lee County, Georgia",1
10500,"Albany, GA",13273,"Terrell County, Georgia",1
10500,"Albany, GA",13321,"Worth County, Georgia",1
10540,"Albany, OR",41043,"Linn County, Oregon",1
10580,"Albany-Schenectady-Troy, NY",36001,"Albany County, New York",1
10580,"Albany-Schenectady-Troy, NY",36083,"Rensselaer County, New York",1
10580,"Albany-Schenectady-Troy, NY",36091,"Saratoga County, New York",1
10580,"Albany-Schenectady-Troy, NY",36093,"Schenectady County, New York",1
10580,"Albany-Schenectady-Troy, NY",36095,"Schoharie County, New York",1
10620,"Albemarle, NC",37167,"Stanly County, North Carolina",0
10660,"Albert Lea, MN",27047,"Freeborn County, Minnesota",0
10700,"Albertville, AL",1095,"Marshall County, Alabama",0
10740,"Albuquerque, NM",35001,"Bernalillo County, New Mexico",1
10740,"Albuquerque, NM",35043,"Sandoval County, New Mexico",1
10740,"Albuquerque, NM",35057,"Torrance County, New Mexico",1
10740,"Albuquerque, NM",35061,"Valencia County, New Mexico",1
10760,"Alexander City, AL",1123,"Tallapoosa County, Alabama",0
10780,"Alexandria, LA",22043,"Grant Parish, Louisiana",1
10780,"Alexandria, LA",22079,"Rapides Parish, Louisiana",1
10820,"Alexandria, MN",27041,"Douglas County, Minnesota",0
10860,"Alice, TX",48047,"Brooks County, Texas",0
10860,"Alice, TX",48249,"Jim Wells County, Texas",0
10900,"Allentown-Bethlehem-Easton, PA-NJ",34041,"Warren County, New Jersey",1
10900,"Allentown-Bethlehem-Easton, PA-NJ",42025,"Carbon County, Pennsylvania",1
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077,"Lehigh County, Pennsylvania",1
10900,"Allentown-Bethlehem-Easton, PA-NJ",42095,"Northampton County, Pennsylvania",1
10940,"Alma, MI",26057,"Gratiot County, Michigan",0
10980,"Alpena, MI",26007,"Alpena County, Michigan",0
11020,"Altoona, PA",42013,"Blair County, Pennsylvania",1
11060,"Altus, OK",40065,"Jackson County, Oklahoma",0
11100,"Amarillo, TX",48011,"Armstrong County, Texas",1
11100,"Amarillo, TX",48065,"Carson County, Texas",1
11100,"Amarillo, TX",48359,"Oldham County, Texas",1
11100,"Amarillo, TX",48375,"Potter County, Texas",1
11100,"Amarillo, TX",48381,"Randall County, Texas",1
11140,"Americus, GA",13249,"Schley County, Georgia",0
11140,"Americus, GA",13261,"Sumter County, Georgia",0
11180,"Ames, IA",19015,"Boone County, Iowa",1
11180,"Ames, IA",19169,"Story County, Iowa",1
11200,"Amherst Town-Northampton, MA",25015,"Hampshire County, Massachusetts",1
11220,"Amsterdam, NY",36057,"Montgomery County, New York",0
11260,"Anchorage, AK",2020,"Anchorage Municipality, Alaska",1
11260,"Anchorage, AK",2170,"Matanuska-Susitna Borough, Alaska",1
11360,"Anderson Creek, NC",37085,"Harnett County, North Carolina",0
11380,"Andrews, TX",48003,"Andrews County, Texas",0
11420,"Angola, IN",18151,"Steuben County, Indiana",0
11460,"Ann Arbor, MI",26161,"Washtenaw County, Michigan",1
11500,"Anniston-Oxford, AL",1015,"Calhoun County, Alabama",1
11540,"Appleton, WI",55015,"Calumet County, Wisconsin",1
11540,"Appleton, WI",55087,"Outagamie County, Wisconsin",1
11580,"Arcadia, FL",12027,"DeSoto County, Florida",0
11620,"Ardmore, OK",40019,"Carter County, Oklahoma",0
11640,"Arecibo, PR",72013,"Arecibo Municipio, Puerto Rico",1
11640,"Arecibo, PR",72027,"Camuy Municipio, Puerto Rico",1
11640,"Arecibo, PR",72065,"Hatillo Municipio, Puerto Rico",1
11640,"Arecibo, PR",72115,"Quebradillas Municipio, Puerto Rico",1
11660,"Arkadelphia, AR",5019,"Clark County, Arkansas",0
11680,"Arkansas City-Winfield, KS",20035,"Cowley County, Kansas",0
11700,"Asheville, NC",37021,"Buncombe County, North Carolina",1
11700,"Asheville, NC",37089,"Henderson County, North Carolina",1
11700,"Asheville, NC",37115,"Madison County, North Carolina",1
11740,"Ashland, OH",39005,"Ashland County, Ohio",0
11820,"Astoria, OR",41007,"Clatsop County, Oregon",0
11860,"Atchison, KS",20005,"Atchison County, Kansas",0
11900,"Athens, OH",39009,"Athens County, Ohio",0
11940,"Athens, TN",47107,"McMinn County, Tennessee",0
11940,"Athens, TN",47121,"Meigs County, Tennessee",0
11980,"Athens, TX",48213,"Henderson County, Texas",0
12020,"Athens-Clarke County, GA",13059,"Clarke County, Georgia",1
12020,"Athens-Clarke County, GA",13195,"Madison County, Georgia",1
12020,"Athens-Clarke County, GA",13219,"Oconee County, Georgia",1
