ct_cd_bea,ct_abbr_bea,ct_name_bea,ct_cd,ct_abbr,ct_name
15901,HIMA,"Maui + Kalawao County, HI",15005,HIKL,Kalawao County HI
15901,HIMA,"Maui + Kalawao County, HI",15009,HIMU,Maui County HI
51019,VABB,"Bedford County + Beford City, VA",51019,VABB,Bedford County VA
51019,VABB,"Bedford County + Beford City, VA",51515,VABD,Bedford County VA
51901,VAAB,"Albemarle + Charlottesville County, VA",51003,VAAA,Albemarle County VA
51901,VAAB,"Albemarle + Charlottesville County, VA",51540,VACV,Charlottesville County VA
51903,VAAE,"Alleghany + Covington County, VA",51005,VAAD,Alleghany County VA
51903,VAAE,"Alleghany + Covington County, VA",51580,VACG,Covington County VA
51907,VAAU,"Augusta County, Staunton + Waynesboro County, VA",51015,VAAF,Augusta County VA
51907,VAAU,"Augusta County, Staunton + Waynesboro County, VA",51790,VASQ,Staunton County VA
51907,VAAU,"Augusta County, Staunton + Waynesboro County, VA",51820,VAWO,Waynesboro County VA
51911,VACP,"Campbell + Lynchburg County, VA",51031,VACB,Campbell County VA
51911,VACP,"Campbell + Lynchburg County, VA",51680,VALY,Lynchburg County VA
51913,VACO,"Carroll + Galax County, VA",51035,VACD,Carroll County VA
51913,VACO,"Carroll + Galax County, VA",51640,VAGX,Galax County VA
51918,VADN,"Dinwiddie County, Colonial Heights+Petersburg County, VA",51053,VADW,Dinwiddie County VA
51918,VADN,"Dinwiddie County, Colonial Heights+Petersburg County, VA",51570,VACN,Colonial Heights County VA
51918,VADN,"Dinwiddie County, Colonial Heights+Petersburg County, VA",51730,VAPG,Petersburg County VA
51919,VAFI,"Fairfax County, Fairfax City + Falls Church County, VA",51059,VAFF,Fairfax County VA
51919,VAFI,"Fairfax County, Fairfax City + Falls Church County, VA",51600,VAFX,Fairfax County VA
51919,VAFI,"Fairfax County, Fairfax City + Falls Church County, VA",51610,VAFH,Falls Church County VA
51921,VAFE,"Frederick + Winchester County, VA",51069,VAFK,Frederick County VA
51921,VAFE,"Frederick + Winchester County, VA",51840,VAWC,Winchester County VA
51923,VAGN,"Greensville + Emporia County, VA",51081,VAGS,Greensville County VA
51923,VAGN,"Greensville + Emporia County, VA",51595,VAEM,Emporia County VA
51929,VAHN,"Henry + Martinsville County, VA",51089,VAHR,Henry County VA
51929,VAHN,"Henry + Martinsville County, VA",51690,VAMV,Martinsville County VA
51931,VAJA,"James City + Williamsburg County, VA",51095,VAJC,James City County VA
51931,VAJA,"James City + Williamsburg County, VA",51830,VAWL,Williamsburg County VA
51933,VAMO,"Montgomery + Radford County, VA",51121,VAMG,Montgomery County VA
51933,VAMO,"Montgomery + Radford County, VA",51750,VARD,Radford County VA
51939,VAPI,"Pittsylvania + Danville County, VA",51143,VAPY,Pittsylvania County VA
51939,VAPI,"Pittsylvania + Danville County, VA",51590,VADA,Danville County VA
51941,VAPN,"Prince George + Hopewell County, VA",51149,VAPC,Prince George County VA
51941,VAPN,"Prince George + Hopewell County, VA",51670,VAHW,Hopewell County VA
51942,VAPW,"Prince William County, Manassas+Manassas Park County, VA",51153,VAPM,Prince William County VA
51942,VAPW,"Prince William County, Manassas+Manassas Park County, VA",51683,VAMN,Manassas County VA
51942,VAPW,"Prince William County, Manassas+Manassas Park County, VA",51685,VAMS,Manassas Park County VA
51944,VARN,"Roanoke + Salem County, VA",51161,VARE,Roanoke County VA
51944,VARN,"Roanoke + Salem County, VA",51775,VASL,Salem County VA
51945,VARK,"Rockbridge County, Buena Vista + Lexington County, VA",51163,VARB,Rockbridge County VA
51945,VARK,"Rockbridge County, Buena Vista + Lexington County, VA",51530,VABV,Buena Vista County VA
51945,VARK,"Rockbridge County, Buena Vista + Lexington County, VA",51678,VALX,Lexington County VA
51947,VARG,"Rockingham + Harrisonburg County, VA",51165,VARM,Rockingham County VA
51947,VARG,"Rockingham + Harrisonburg County, VA",51660,VAHB,Harrisonburg County VA
51949,VASO,"Southampton + Franklin County, VA",51175,VASN,Southampton County VA
51949,VASO,"Southampton + Franklin County, VA",51620,VAFN,Franklin County VA
51951,VASP,"Spotsylvania + Fredericksburg County, VA",51177,VASA,Spotsylvania County VA
51951,VASP,"Spotsylvania + Fredericksburg County, VA",51630,VAFD,Fredericksburg County VA
51953,VAWS,"Washington + Bristol County, VA",51191,VAWH,Washington County VA
51953,VAWS,"Washington + Bristol County, VA",51520,VABQ,Bristol County VA
51955,VAWI,"Wise + Norton County, VA",51195,VAWW,Wise County VA
51955,VAWI,"Wise + Norton County, VA",51720,VANA,Norton County VA
51958,VAYO,"York + Poquoson County, VA",51199,VAYR,York County VA
51958,VAYO,"York + Poquoson County, VA",51735,VAPQ,Poquoson County VA
