ct_cd,ct_abbr,ct_name
1001,ALAU,Autauga County AL
1003,ALBA,Baldwin County AL
1005,ALBR,Barbour County AL
1007,ALBI,Bibb County AL
1009,ALBL,Blount County AL
1011,ALBU,Bullock County AL
1013,ALBT,Butler County AL
1015,ALCA,Calhoun County AL
1017,ALCH,Chambers County AL
1019,ALCE,Cherokee County AL
1021,ALCI,Chilton County AL
1023,ALCO,Choctaw County AL
1025,ALCL,Clarke County AL
1027,ALCY,Clay County AL
1029,ALCB,Cleburne County AL
1031,ALCF,Coffee County AL
1033,ALCR,Colbert County AL
1035,ALCN,Conecuh County AL
1037,ALCS,Coosa County AL
1039,ALCV,Covington County AL
1041,ALCW,Crenshaw County AL
1043,ALCU,Cullman County AL
1045,ALDA,Dale County AL
1047,ALDL,Dallas County AL
1049,ALDE,De Kalb County AL
1051,ALEL,Elmore County AL
1053,ALES,Escambia County AL
1055,ALET,Etowah County AL
1057,ALFA,Fayette County AL
1059,ALFR,Franklin County AL
1061,ALGE,Geneva County AL
1063,ALGR,Greene County AL
1065,ALHA,Hale County AL
1067,ALHE,Henry County AL
1069,ALHO,Houston County AL
1071,ALJA,Jackson County AL
1073,ALJE,Jefferson County AL
1075,ALLA,Lamar County AL
1077,ALLU,Lauderdale County AL
1079,ALLW,Lawrence County AL
1081,ALLE,Lee County AL
1083,ALLI,Limestone County AL
1085,ALLO,Lowndes County AL
1087,ALMA,Macon County AL
1089,ALMD,Madison County AL
1091,ALMR,Marengo County AL
1093,ALMI,Marion County AL
1095,ALMS,Marshall County AL
1097,ALMO,Mobile County AL
1099,ALMN,Monroe County AL
1101,ALMT,Montgomery County AL
1103,ALMG,Morgan County AL
1105,ALPE,Perry County AL
1107,ALPI,Pickens County AL
1109,ALPK,Pike County AL
1111,ALRA,Randolph County AL
1113,ALRU,Russell County AL
1115,ALST,St. Clair County AL
1117,ALSH,Shelby County AL
1119,ALSU,Sumter County AL
1121,ALTA,Talladega County AL
1123,ALTL,Tallapoosa County AL
1125,ALTU,Tuscaloosa County AL
1127,ALWA,Walker County AL
1129,ALWS,Washington County AL
1131,ALWI,Wilcox County AL
1133,ALWN,Winston County AL
2013,AKEB,Aleutians East Borough County AK
2016,AKWC,Aleutians West Census Area County AK
2020,AKAN,Anchorage Borough County AK
2050,AKBE,Bethel Census Area County AK
2060,AKBR,Bristol Bay Borough County AK
2063,AKCH,Chugach Census Area AK
2066,AKCO,Copper River Census Area AK
2068,AKDE,DeNali Borough County AK
2070,AKDI,Dillingham Census Area County AK
2090,AKFA,Fairbanks North Star Borough County AK
2100,AKHA,Haines Borough County AK
2105,AKHO,Hoonah-Angoon County AK
2110,AKJU,Juneau Borough County AK
2122,AKKE,Kenai Peninsula Borough County AK
2130,AKKT,Ketchikan Gateway Borough County AK
2150,AKKO,Kodiak Island Borough County AK
2158,AKKU,Kusilvak Census Area County AK
2164,AKLA,Lake and Peninsula Borough County AK
2170,AKMA,Matanuska-Susitna Borough County AK
2180,AKNO,Nome Census Area County AK
2185,AKNR,North Slope Borough County AK
2188,AKNT,Northwest Arctic Borough County AK
2195,AKPE,Petersburg County AK
2198,AKPW,Prince of Wales-Hyder County AK
2201,AKPR,Prince of Wales-Outer Ketchikan County AK
2220,AKSI,Sitka Borough County AK
2230,AKSG,Skagway County AK
2232,AKSK,Skagway-Hoonah-Angoon County AK
2240,AKSE,S.E. Fairbanks Census Area County AK
2261,AKVA,Valdez-Cordova Census Area County AK
2270,AKWA,Wade Hampton Census Area County AK
2275,AKWG,Wrangell County AK
2280,AKWR,Wrangell-Petersburg County AK
2282,AKYK,Yakutat Borough County AK
2290,AKYU,Yukon-Koyukuk Census Area County AK
4001,AZAP,Apache County AZ
4003,AZCO,Cochise County AZ
4005,AZCC,Coconino County AZ
4007,AZGI,Gila County AZ
4009,AZGR,Graham County AZ
4011,AZGE,Greenlee County AZ
4012,AZLA,La Paz County AZ
4013,AZMA,Maricopa County AZ
4015,AZMO,Mohave County AZ
4017,AZNA,Navajo County AZ
4019,AZPI,Pima County AZ
4021,AZPN,Pinal County AZ
4023,AZSA,Santa Cruz County AZ
4025,AZYA,Yavapai County AZ
4027,AZYU,Yuma County AZ
5001,ARAR,Arkansas County AR
5003,ARAS,Ashley County AR
5005,ARBA,Baxter County AR
5007,ARBE,Benton County AR
5009,ARBO,Boone County AR
5011,ARBR,Bradley County AR
5013,ARCA,Calhoun County AR
5015,ARCR,Carroll County AR
5017,ARCH,Chicot County AR
5019,ARCL,Clark County AR
5021,ARCY,Clay County AR
5023,ARCE,Cleburne County AR
5025,ARCV,Cleveland County AR
5027,ARCO,Columbia County AR
5029,ARCN,Conway County AR
5031,ARCI,Craighead County AR
5033,ARCW,Crawford County AR
5035,ARCT,Crittenden County AR
5037,ARCS,Cross County AR
5039,ARDA,Dallas County AR
5041,ARDE,Desha County AR
5043,ARDR,Drew County AR
5045,ARFA,Faulkner County AR
5047,ARFR,Franklin County AR
5049,ARFU,Fulton County AR
5051,ARGA,Garland County AR
5053,ARGR,Grant County AR
5055,ARGE,Greene County AR
5057,ARHE,Hempstead County AR
5059,ARHO,Hot Spring County AR
5061,ARHW,Howard County AR
5063,ARIN,Independence County AR
5065,ARIZ,Izard County AR
5067,ARJA,Jackson County AR
5069,ARJE,Jefferson County AR
5071,ARJO,Johnson County AR
5073,ARLA,Lafayette County AR
5075,ARLW,Lawrence County AR
5077,ARLE,Lee County AR
5079,ARLI,Lincoln County AR
5081,ARLT,Little River County AR
5083,ARLO,Logan County AR
5085,ARLN,Lonoke County AR
5087,ARMA,Madison County AR
5089,ARMR,Marion County AR
5091,ARMI,Miller County AR
5093,ARMS,Mississippi County AR
5095,ARMO,Monroe County AR
5097,ARMN,Montgomery County AR
5099,ARNE,Nevada County AR
5101,ARNW,Newton County AR
5103,AROU,Ouachita County AR
5105,ARPE,Perry County AR
5107,ARPH,Phillips County AR
5109,ARPI,Pike County AR
5111,ARPO,Poinsett County AR
5113,ARPL,Polk County AR
5115,ARPP,Pope County AR
5117,ARPR,Prairie County AR
5119,ARPU,Pulaski County AR
5121,ARRA,Randolph County AR
5123,ARST,St. Francis County AR
5125,ARSA,Saline County AR
5127,ARSC,Scott County AR
5129,ARSE,Searcy County AR
5131,ARSB,Sebastian County AR
5133,ARSV,Sevier County AR
5135,ARSH,Sharp County AR
5137,ARSO,Stone County AR
5139,ARUN,Union County AR
5141,ARVA,Van Buren County AR
5143,ARWA,Washington County AR
5145,ARWH,White County AR
5147,ARWO,Woodruff County AR
5149,ARYE,Yell County AR
6001,CAAL,Alameda County CA
6003,CAAP,Alpine County CA
6005,CAAM,Amador County CA
6007,CABU,Butte County CA
6009,CACA,Calaveras County CA
6011,CACO,Colusa County CA
6013,CACN,Contra Costa County CA
6015,CADE,Del Norte County CA
6017,CAEL,El Dorado County CA
6019,CAFR,Fresno County CA
6021,CAGL,Glenn County CA
6023,CAHU,Humboldt County CA
6025,CAIM,Imperial County CA
